İl Toplam CHP DP BĞMZ İl Toplam CHP DP BĞMZ
Adana 14 5 7 0 0 1 1 0 İzmir 19 8 11 0 0 0 0 0
Adıyaman 4 1 2 0 0 0 1 0 Kars 8 2 5 0 0 0 1 0
Afyon 6 4 2 0 0 0 0 0 Kastamonu 5 3 2 0 0 0 0 0
Ağrı 4 2 1 1 0 0 0 0 Kayseri 8 3 3 1 0 1 0 0
Amasya 4 2 2 0 0 0 0 0 Kırklareli 3 1 2 0 0 0 0 0
Ankara 29 10 16 0 0 2 1 0 Kırşehir 3 1 2 0 0 0 0 0
Antalya 7 4 3 0 0 0 0 0 Kocaeli 5 2 3 0 0 0 0 0
Artvin 3 2 1 0 0 0 0 0 Konya 16 5 5 0 1 2 3 0
Aydın 7 4 3 0 0 0 0 0 Kütahya 5 4 1 0 0 0 0 0
Balıkesir 9 5 4 0 0 0 0 0 Malatya 6 1 4 0 0 0 1 0
Bilecik 2 1 1 0 0 0 0 0 Manisa 10 6 4 0 0 0 0 0
Bingöl 2 1 1 0 0 0 0 0 KahramanMaraş 7 2 3 0 0 1 1 0
Bitlis 2 1 0 0 0 0 1 0 Mardin 6 1 2 0 0 0 2 1
Bolu 5 3 2 0 0 0 0 0 Muğla 4 2 2 0 0 0 0 0
Burdur 2 1 1 0 0 0 0 0 Muş 3 1 1 0 0 0 1 0
Bursa 11 7 4 0 0 0 0 0 Nevşehir 3 2 1 0 0 0 0 0
Çanakkale 4 2 2 0 0 0 0 0 Niğde 5 2 2 0 0 1 0 0
Çankırı 3 2 1 0 0 0 0 0 Ordu 7 3 4 0 0 0 0 0
Çorum 6 3 2 0 0 1 0 0 Rize 4 2 2 0 0 0 0 0
Denizli 6 3 3 0 0 0 0 0 Sakarya 5 3 2 0 0 0 0 0
Diyarbakır 7 2 3 0 0 0 1 1 Samsun 10 5 5 0 0 0 0 0
Edirne 4 2 2 0 0 0 0 0 Siirt 4 1 1 0 0 0 1 1
Elazığ 5 1 2 0 0 1 0 1 Sinop 3 1 2 0 0 0 0 0
Erzincan 3 1 2 0 0 0 0 0 Sivas 8 2 4 0 0 1 1 0
Erzurum 8 4 2 0 0 1 1 0 Tekirdağ 4 2 2 0 0 0 0 0
Eskişehir 5 3 2 0 0 0 0 0 Tokat 7 2 4 0 0 1  0
Gaziantep 8 3 4 0 0 1 0 0 Trabzon 8 3 4 0 0 0 1 0
Giresun 5 3 2 0 0 0 0 0 Tunceli 2 0 2 0 0 0 0 0
Gümüşhane 3 2 1 0 0 0 0 0 Urfa 7 3 3 0 0 0 1 0
Hakkari 1 1 0 0 0 0 0 0 Uşak 3 1 2 0 0 0 0 0
Hatay 8 3 5 0 0 0 0 0 Van 4 1 1 1 0 0 1 0
Isparta 4 3 1 0 0 0 0 0 Yozgat 6 2 2 0 0 1 1 0
İçel 8 4 4 0 0 0 0 0 Zonguldak 9 4 5 0 0 0 0 0
İstanbul 44 13 27 0 0 1 3 0 17

İl Toplam ANAP HP MDP İl Toplam ANAP HP MDP
Toplam 399 211 117 71
Adana 12 5 5 2 İzmir 16 5 8 3
Adıyaman 4 2 1 1 Kars 6 2 2 2
Afyon 5 4 1 0 Kastamonu 4 2 0 2
Ağrı 4 1 2 1 Kayseri 7 4 2 1
Amasya 4 2 2 0 Kırklareli 3 1 2 0
Ankara 22 14 6 2 Kırşehir 3 2 1 0
Antalya 7 4 1 2 Kocaeli 5 3 2 0
Artvin 3 3 0 0 Konya 13 8 3 2
Aydın 6 2 2 2 Kütahya 5 4 0 1
Balıkesir 7 3 2 2 Malatya 6 4 2 0
Bilecik 2 1 1 0 Manisa 8 5 2 1
Bingöl 2 2 0 0 KahramanMaraş 6 3 1 2
Bitlis 3 0 0 3 Mardin 5 2 1 2
Bolu 5 4 0 1 Muğla 4 2 1 1
Burdur 3 3 0 0 Muş 3 2 0 1
Bursa 10 6 2 2 Nevşehir 3 3 0 0
Çanakkale 4 2 1 1 Niğde 5 3 1 1
Çankırı 3 3 0 0 Ordu 6 3 2 1
Çorum 5 2 2 1 Rize 4 2 0 2
Denizli 5 2 2 1 Sakarya 5 3 1 1
Diyarbakır 7 2 3 2 Samsun 8 6 2 0
Edirne 4 2 2 0 Siirt 4 1 1 2
Elazığ 4 4 0 0 Sinop 3 0 2 1
Erzincan 3 2 1 0 Sivas 7 3 3 1
Erzurum 7 4 1 2 Tekirdağ 4 2 2 0
Eskişehir 5 3 2 0 Tokat 6 4 2 0
Gaziantep 7 3 2 2 Trabzon 6  2 1
Giresun 5 3 1 1 Tunceli 2 0 2 0
Gümüşhane 3 3 0 0 Urfa 5 2 1 2
Hakkari 2 0 2 0 Uşak 3 2 1 0
Hatay 7 2 3 2 Van 4 2 0 2
Isparta 4 4 0 0 Yozgat 5 3 1 1
İçel 7 3 3 1 Zonguldak 8 3 4 1
İstanbul 36 17 13 6

İl Toplam ANAP DYP SHP İl Toplam ANAP DYP SHP
Toplam 450 292 59 99
Adana 14 7 3 4 İzmir 19 8 1 10
Adıyaman 4 4 0 0 Kars 6 4 0 2
Afyon 6 4 2 0 Kastamonu 4 4 0 0
Ağrı 4 4 0 0 Kayseri 8 8 0 0
Amasya 4 2 0 2 Kırklareli 3 1 0 2
Ankara 26 16 0 10 Kırşehir 3 3 0 0
Antalya 8 3 4 1 Kocaeli 7 2 1 4
Artvin 3 1 1 1 Konya 14 12 2 0
Aydın 7 6 0 1 Kütahya 5 3 2 0
Balıkesir 8 6 1 1 Malatya 6 5 0 1
Bilecik 2 1 0 1 Manisa 9 4 3 2
Bingöl 3 1 1 1 KahramanMaraş 7 4 2 1
Bitlis 3 3 0 0 Mardin 6 3 1 2
Bolu 5 4 1 0 Muğla 5 2 1 2
Burdur 3 3 0 0 Muş 4 4 0 0
Bursa 11 7 3 1 Nevşehir 3 1 1 1
Çanakkale 4 4 0 0 Niğde 5 3 2 0
Çankırı 3 3 0 0 Ordu 7 7 0 0
Çorum 6 4 0 2 Rize 4 4 0 0
Denizli 6 3 1 2 Sakarya 6 4 2 0
Diyarbakır 8 3 1 4 Samsun 9 4 5 0
Edirne 4 2 0 2 Siirt 5 3 2 0
Elazığ 5 2 3 0 Sinop 3 1 1 1
Erzincan 3 2 0 1 Sivas 7 6 0 1
Erzurum 7 6 1 0 Tekirdağ 4 2 0 2
Eskişehir 5 3 0 2 Tokat 6 4 0 2
Gaziantep 8 6 0 2 Trabzon 7 6 1 0
Giresun 5 3 0 2 Tunceli 2 0 0 2
Gümüşhane 3 3 0 0 Şanlıurfa 7 7 0 0
Hakkari 2 1 0 1 Uşak 3 3 0 0
Hatay 9 3 1 5 Van 5 5 0 0
Isparta 4 0 4 0 Yozgat 5 5 0 0
İçel 9 5 0 4 Zonguldak 9 4 5 0
İstanbul 45 31 0 14 19

İl Toplam ANAP DSP DYP RP SHP İl Toplam ANAP DSP DYP RP SHP
Toplam 450 115 7 178 62 88
